date,Daily_Step_Count
2022-08-26,3150
2022-08-27,2382
2022-08-28,0
2022-08-29,1392
2022-08-30,4389
2022-08-31,1671
2022-09-01,8178
2022-09-02,3993
2022-09-03,2970
2022-09-04,2895
2022-09-05,2418
2022-09-06,2961
2022-09-07,2997
2022-09-08,4557
2022-09-09,375
2022-09-10,1848
2022-09-11,4521
2022-09-12,3414
2022-09-13,6840
2022-09-14,8325
2022-09-15,23829
2022-09-16,8175
2022-09-17,31221
2022-09-18,23883
2022-09-19,21771
2022-09-20,33945
2022-09-21,10911
2022-09-22,17910
2022-09-23,8280
2022-09-24,10716
2022-09-25,23145
2022-09-26,12498
2022-09-27,28914
2022-09-28,11325
2022-09-29,26118
2022-09-30,21114
2022-10-01,17268
2022-10-02,13035
2022-10-03,47436
2022-10-04,15264
2022-10-05,9963
2022-10-06,12147
2022-10-07,5196
2022-10-08,3294
2022-10-09,4821
2022-10-10,20844
2022-10-11,29970
2022-10-12,13686
2022-10-13,13716
2022-10-14,12465
2022-10-15,30141
2022-10-16,28467
2022-10-17,28590
2022-10-18,27072
2022-10-19,21549
2022-10-20,13434
2022-10-21,1389
2022-10-22,1524
2022-10-23,4719
2022-10-24,8586
2022-10-25,2553
2022-10-26,1911
2022-10-27,147
2022-10-28,4032
2022-10-29,702
2022-10-30,8250
2022-10-31,2481
2022-11-01,1794
2022-11-02,24603
2022-11-03,18042
2022-11-04,15810
2022-11-05,16314
2022-11-06,19611
2022-11-07,32805
2022-11-08,18621
2022-11-09,20043
2022-11-10,28983
2022-11-11,13092
2022-11-12,17190
2022-11-13,21108
2022-11-14,26571
2022-11-15,21087
2022-11-16,51522
2022-11-17,19992
2022-11-18,24537
2022-11-19,9450
2022-11-20,7086
2022-11-21,11283
2022-11-22,12135
2022-11-23,8838
2022-11-24,4413
2022-11-25,12936
2022-11-26,4269
2022-11-27,8307
2022-11-28,5823
2022-11-29,8742
2022-11-30,11976
2022-12-01,11805
2022-12-02,6801
2022-12-03,26091
2022-12-04,43998
2022-12-05,14373
2022-12-06,19188
2022-12-07,11787
2022-12-08,7689
2022-12-09,2796
2022-12-10,7029
2022-12-11,22404
2022-12-12,11511
2022-12-13,22896
2022-12-14,14349
2022-12-15,22464
2022-12-16,22362
2022-12-17,8841
2022-12-18,6042
2022-12-19,23868
2022-12-20,17406
2022-12-21,6819
2022-12-22,14190
2022-12-23,39675
2022-12-24,12888
2022-12-25,4278
2022-12-26,16341
2022-12-27,17616
2022-12-28,4743
2022-12-29,14853
2022-12-30,20064
